"class";"x.1";"x.2";"x.3";"x.4"
"1";-2,87087947277602;-2,57515898171936;-2,78472047482725;0,0251860863059234
"2";-0,749518909602796;-2,91383502822605;-2,03571604986836;0,802416168465004
"2";1,7311362311611;-4,94987962724897;-4,11039264238909;0,00991563334006746
"2";-0,99832767356854;-2,7344269382998;-2,04706863140222;-0,178305892245461
"2";-1,9222172110293;-1,6730386568368;-1,2460402046076;0,228431241154499
"2";0,470353497667426;-2,72908498881686;-1,62675607960603;-2,16954683400771
"2";1,47925797201577;-2,144247501199;-2,09430738829289;0,967613437605994
"2";-0,154961250041517;-1,59719389125922;-0,867601134141821;-0,590399556375431
"2";0,830058582750615;-3,37697411807606;-2,06576414682529;-2,26694685063092
"2";1,627834154976;-3,27756281089338;-1,99246794102016;-0,128175540040117
"2";0,742149987197054;-3,17633578810205;-2,64415412834999;1,8043741638352
"2";-0,0130963060877662;-2,81107263843811;-2,08638219778384;0,573452761233241
"2";2,62193445335179;-3,51614505216113;-2,95171705775455;-0,578399971298945
"2";1,55996049325882;-2,81808384690882;-1,59530488883178;0,473934987379901
"2";-0,0527213162371451;-2,66154688448233;-2,28556133449658;0,79583765573164
"2";-0,410180092692191;-2,15112856814388;-1,99272333121428;-2,02101772343362
"2";0,277447431605645;-3,83898522345911;-3,04484466742167;0,971783763164588
"2";0,380501248615977;-1,69826964101445;-1,15180322277148;-2,73273168676215
"2";-0,879655909758465;-2,04761534380238;-1,50043431414165;0,640923534362502
"2";-0,0416745424062831;-2,58012329408167;-1,77668400773017;3,23471925610853
"2";-0,530018596085843;-1,44647913063924;-1,36643474820927;-0,0157663453231058
"2";1,56667440309059;-4,02334371369017;-3,62574225839824;2,0495709605154
"2";0,710017671456691;-4,17391431395015;-3,70542287982018;2,26268356683141
"2";-0,198125436885645;-2,7253755587648;-2,40308636345551;1,04243810529598
"2";0,710088785297338;-3,41437970885129;-2,56055029387458;-2,08270615061939
"2";0,376737817681766;-3,3624278463468;-3,10215266963321;-0,103677115716291
"2";0,484951070113048;-2,20561410266734;-2,2699026845705;3,39874176310602
"2";-0,801020267843662;-2,01378251323902;-2,01949226352495;0,524672623429163
"2";-2,1839277664649;-2,02523028327574;-2,38357822798363;-1,46481865594347
"2";-0,0167441249227209;-1,43711355358183;-1,06217054072947;-2,20419607168496
"2";-1,29675154013264;-2,94517245041789;-2,73964032765744;-2,51641877059986
"2";1,80103771865191;-4,51414234199333;-3,20016446201205;-2,38743267003197
"2";-0,657711870120369;-2,13000029651623;-1,91447596691016;3,94185474700737
"2";0,415888725629692;-4,49559731775955;-4,07733283901266;-0,805475888124823
"2";-0,133993556178951;-2,77942899998625;-2,69268773746614;2,10098158935758
"2";0,770409795406874;-4,49869784965452;-3,96150249052102;0,778412283784273
"2";-0,750741719229347;-1,87852223006824;-1,88082771396133;2,55731501350852
"2";1,29685693679332;-2,56176504781332;-1,72660704238594;1,00404189194222
"2";1,49150159360832;-2,71596622089125;-1,53820857108229;3,05322657398023
"2";-0,391567478547576;-3,10509165552146;-2,64014187121224;-5,50115314139738
"2";-1,11374106483552;-1,57564088572438;-1,17100432934039;-2,29108586043132
"2";-0,336890117227112;-3,77079496106683;-2,71691619464474;-2,05692384455107
"2";0,388748903792049;-3,48601864690003;-2,73876516766476;-3,42988543361164
"2";0,223911770042937;-1,06655911734697;-0,832460416670722;2,90727513214493
"2";1,15624889260384;-2,61903875878803;-2,31301162507554;-3,95688841956583
"2";0,510644693662679;-2,61724150662579;-0,959569530065665;-0,171005781470754
"2";1,52732652503761;-3,26809942005597;-2,80025125492464;3,16935203439894
"2";0,0206143256279323;-3,298469439167;-3,0670185872188;-1,56886032866762
"2";0,494334573751778;-2,69722753793111;-2,54628820853829;-1,93384167935932
"2";-0,19057631968351;-2,94608244858129;-2,62826857442097;-1,62256042662824
"2";-0,74977054328264;-2,50780874427504;-2,40569451979598;2,41797879228022
"3";-0,325480382822678;-1,70801117951223;-1,78410234742392;-3,95982727716589
"3";-1,63026737631523;-0,0469098762423135;-0,0626923119655013;-1,90434333204859
"3";-1,01687632084661;-1,39675905740245;-1,15094191483195;-0,367578434585237
"3";-1,55549964901297;-0,0931269416836128;-1,00416034151855;-0,393862675230099
"3";-2,17186270931877;-1,35886049439421;-2,02715431379921;1,79235853072371
"3";-1,2158779847689;-1,47172104486495;-1,55494061098494;0,406615090431647
"3";-1,36678646952766;0,115248576034466;0,0183753239902875;0,193210203952903
"3";-1,83539096857212;-1,10737469643645;-1,22489216225507;1,35317807446473
"3";-0,188353432564482;-0,768205204305302;-0,219256828551344;-1,4425508288828
"3";-0,747053901520632;-1,0076447831264;-0,982980218240136;-0,233512124162491
"3";-2,7334356782914;-0,0162087147216683;-0,416648325446916;-2,29339566066685
"3";-2,0084999733927;-0,353978433772865;-1,02219232526884;0,463792954402956
"3";-2,03202560620968;0,409547187840594;-0,468049474731979;1,79832907564883
"3";-1,41013083401893;-1,02889652974614;-0,88163460274173;-0,0862499767917459
"3";-0,938693259787212;-0,284184803028531;0,125697415323389;-1,48146617150731
"3";-2,0014012877415;-0,868404144320081;-0,891158399423895;2,05566110536102
"3";-0,349315065684198;-0,863587066212523;-0,95124911219593;-2,06612710984794
"3";-1,01039738394348;-1,41391015555088;-1,15883480310163;1,27614673828678
"3";-0,268526401556876;-1,84325928624255;-1,29407211054845;4,08649735219325
"3";-0,0945404611309675;-1,02008685729157;-0,856022721687727;2,24587666654964
"3";-2,20841452060375;-0,563519682787972;-1,17889901677297;-1,29643468158967
"3";-0,289589960982942;0,0400520085315044;-0,180343297883841;-0,247624493074016
"3";-0,295062007936815;-1,2959348234845;-1,17929712993678;-2,38721517709894
"3";-0,552159905700826;0,0268936921060693;-0,314171940064059;0,365946432423398
"3";-1,61952646084494;-0,768563453527154;-1,43187952577445;2,07855905889007
"3";-0,832482372149061;-0,893545088610383;-1,60395553944264;-2,37274724715741
"3";-0,430788498251784;-2,03459646759064;-2,12213802924345;1,69592190070498
"3";-1,98232629387381;0,31528237521453;0,244092254294704;-0,071898056494457
"3";-0,257326090281824;-0,905701841210031;-0,492589640968806;-2,01879988818816
"3";-1,12302741170355;-0,275939873388536;-1,05181768276837;-1,10986817914638
"3";-2,19811884076827;-1,43736360230283;-1,52462262679127;-1,56897801074137
"3";-2,28884005646458;-1,10774177157294;-0,63383835482924;-0,65142315518889
"3";-1,14552974987623;-1,38034736286723;-1,16129711884596;4,33652564777307
"3";-1,65828284168403;-2,06778960843393;-2,00527177420341;-0,771132860192955
"3";-1,58504859754286;-1,54226938224171;-1,48605010152075;-0,69716883550456
"3";-1,0731350100764;-1,15367024684807;-1,25628408306225;2,93941296522862
"3";-2,05089898624878;-0,955845383266505;-0,86722012168499;0,611525538179639
"3";-0,894261656751368;0,570378158132764;0,685633293932377;-4,75549794359717
"3";0,30166240493717;-0,368101575884835;0,156967038594366;3,77653770915819
"3";-3,27439882243555;-0,0666777440068269;-0,855793397920619;-0,835769062934103
"3";-1,78973103708441;0,105126517924604;-0,122213875188509;0,182009947294846
"3";-1,53853082347489;-1,51400569603774;-1,76789015640265;0,967631674433511
"3";-1,93703303874121;0,325737891611928;0,168450988897613;0,789817672868542
"3";-1,18123196763214;0,0482881877686161;-0,318890931912565;2,63154124118843
"3";-2,3980581518008;-1,96901760008472;-2,17693625968469;0,5267291351536
"3";-0,312611818295364;-1,09821047085469;-0,968315828496706;-0,369008455160864
"3";-0,485376319995675;1,10478945411293;1,69542150527263;-5,36393226529227
"3";-2,12041392704324;-1,31547397931994;-1,75123071529865;0,990348054459162
"3";-1,42977306056574;-0,194200279000047;-0,42194419318637;-0,0226563493250892
"3";-1,38782498012201;-0,862082650131847;-1,67793916743555;1,11342264690154
